A,B,Link Size
Larry Bucshon,Congressional Constitution Caucus,2
Lynn Jenkins,Congressional Constitution Caucus,2
Marlin Stutzman,Congressional Constitution Caucus,2
Mick Mulvaney,Congressional Constitution Caucus,2
Mike Pompeo,Congressional Constitution Caucus,2
Mike Rogers,Congressional Constitution Caucus,2
Mo Brooks,Congressional Constitution Caucus,2
Morgan Griffith,Congressional Constitution Caucus,2
Paul Broun,Congressional Constitution Caucus,2
Paul Gosar,Congressional Constitution Caucus,2
Phil Gingrey,Congressional Constitution Caucus,2
Richard Pombo,Congressional Constitution Caucus,2
Rob Wittman,Congressional Constitution Caucus,2
Sam Brownback,Congressional Constitution Caucus,2
Scott Garrett,Congressional Constitution Caucus,2
Steve Stockman,Congressional Constitution Caucus,2
Steve Stockman,Congressional Constitution Caucus,2
Tim Huelskamp,Congressional Constitution Caucus,2
Tim Walberg,Congressional Constitution Caucus,2
Tom McClintock,Congressional Constitution Caucus,2
Tom Price,Congressional Constitution Caucus,2
Tom Reed,Congressional Constitution Caucus,2
Virginia Foxx,Congressional Constitution Caucus,2
Brian Babin,Congressional Family Caucus,2
Claudia Tenney,Congressional Family Caucus,2
Diana Harshbarger,Congressional Family Caucus,2
Mary Miller,Congressional Family Caucus,2
Tom Lantos,Congressional Human Rights Foundation,2
Bill Flores,Congressional Immigration Reform Caucus,2
Bill Huizenga,Congressional Immigration Reform Caucus,2
Brian Bilbray,Congressional Immigration Reform Caucus,2
Diane Black,Congressional Immigration Reform Caucus,2
Frank Lucas,Congressional Immigration Reform Caucus,2
John Carter,Congressional Immigration Reform Caucus,2
Lamar Smith,Congressional Immigration Reform Caucus,2
Mike Rogers,Congressional Immigration Reform Caucus,2
Mike Simpson,Congressional Immigration Reform Caucus,2
Phil Gingrey,Congressional Immigration Reform Caucus,2
Robert Aderholt,Congressional Immigration Reform Caucus,2
Roscoe Bartlett,Congressional Immigration Reform Caucus,2
Ted Poe,Congressional Immigration Reform Caucus,2
Tom Tancredo,Congressional Immigration Reform Caucus,2
Vern Buchanan,Congressional Immigration Reform Caucus,2
Adelson Fortune,Congressional Leadership Fund,2
American Action Network,Congressional Leadership Fund,2
American Petroleum Institute,Congressional Leadership Fund,2
Bob Perry,Congressional Leadership Fund,2
Caleb Crosby,Congressional Leadership Fund,2
Cerberus,Congressional Leadership Fund,2
Chevron,Congressional Leadership Fund,2
Club for Growth,Congressional Leadership Fund,2
ConocoPhillips,Congressional Leadership Fund,2
Dan Donston,Congressional Leadership Fund,2
Energy Transfer,Congressional Leadership Fund,2
GEO Group,Congressional Leadership Fund,2
Joseph Craft Fortune,Congressional Leadership Fund,2
Ken Griffin,Congressional Leadership Fund,2
Koch Industries,Congressional Leadership Fund,2
Mellon Scaife Fortune,Congressional Leadership Fund,2
Microsoft,Congressional Leadership Fund,2
Occidental Petroleum,Congressional Leadership Fund,2
One Nation,Congressional Leadership Fund,2
Senate Leadership Fund,Congressional Leadership Fund,2
Timothy Mellon,Congressional Leadership Fund,2
Valero Energy,Congressional Leadership Fund,2
Andy Harris,Congressional Pro-Life Caucus,2
Chris H. Smith,Congressional Pro-Life Caucus,2
Kat Cammack,Congressional Pro-Life Caucus,2
Michelle Fischbach,Congressional Pro-Life Caucus,2
Altria,Congressional Sportsmen's Foundation,2
America's Natural Gas Alliance,Congressional Sportsmen's Foundation,2
British American Tobacco,Congressional Sportsmen's Foundation,2
ExxonMobil,Congressional Sportsmen's Foundation,2
National Shooting Sports Foundation,Congressional Sportsmen's Foundation,2
NRA,Congressional Sportsmen's Foundation,2
Shell,Congressional Sportsmen's Foundation,2
Walmart,Congressional Sportsmen's Foundation,2
Adrian Smith,Congressional Western Caucus,2
Andy Biggs,Congressional Western Caucus,2
August Pfluger,Congressional Western Caucus,2
Austin Scott,Congressional Western Caucus,2
Barry Moore,Congressional Western Caucus,2
Ben Cline,Congressional Western Caucus,2
Blake Moore,Congressional Western Caucus,2
Brad Finstad,Congressional Western Caucus,2
Brian Babin,Congressional Western Caucus,2
Bruce Westerman,Congressional Western Caucus,2
Buddy Carter,Congressional Western Caucus,2
Burgess Owens,Congressional Western Caucus,2
Chuck Fleischmann,Congressional Western Caucus,2
Clay Higgins,Congressional Western Caucus,2
Cliff Bentz,Congressional Western Caucus,2
Dan Crenshaw,Congressional Western Caucus,2
Dan Newhouse,Congressional Western Caucus,2
Darrell Issa,Congressional Western Caucus,2
David Joyce,Congressional Western Caucus,2
David Rouzer,Congressional Western Caucus,2
Dennis A. Ross,Congressional Western Caucus,2
Diana Harshbarger,Congressional Western Caucus,2
Don Bacon,Congressional Western Caucus,2
Doug LaMalfa,Congressional Western Caucus,2
Dusty Johnson,Congressional Western Caucus,2
Eli Crane,Congressional Western Caucus,2
Erin Houchin,Congressional Western Caucus,2
Frank Lucas,Congressional Western Caucus,2
Gary Palmer,Congressional Western Caucus,2
Glenn Thompson,Congressional Western Caucus,2
Greg Murphy,Congressional Western Caucus,2
Greg Steube,Congressional Western Caucus,2
Harriet Hageman,Congressional Western Caucus,2
James Comer,Congressional Western Caucus,2
James Moylan,Congressional Western Caucus,2
Jason T. Smith,Congressional Western Caucus,2
Jay Obernolte,Congressional Western Caucus,2
Jim Baird,Congressional Western Caucus,2
Jodey Arrington,Congressional Western Caucus,2
John Carter,Congressional Western Caucus,2
Juan Ciscomani,Congressional Western Caucus,2
Julie Fedorchak,Congressional Western Caucus,2
Ken Calvert,Congressional Western Caucus,2
Kevin Kiley,Congressional Western Caucus,2
Laurel Lee,Congressional Western Caucus,2
Lauren Boebert,Congressional Western Caucus,2
Mark ALford,Congressional Western Caucus,2
Mark Amodei,Congressional Western Caucus,2
Mark Messmer,Congressional Western Caucus,2
Max Miller,Congressional Western Caucus,2
Mike Bost,Congressional Western Caucus,2
Mike Flood,Congressional Western Caucus,2
Mike Johnson,Congressional Western Caucus,2
Mike Simpson,Congressional Western Caucus,2
Nicole Malliotakis,Congressional Western Caucus,2
Pat Fallon,Congressional Western Caucus,2
Paul Gosar,Congressional Western Caucus,2
Pete Stauber,Congressional Western Caucus,2
Ralph Norman,Congressional Western Caucus,2
Randy Feenstra,Congressional Western Caucus,2
Rob Wittman,Congressional Western Caucus,2
Ron Estes,Congressional Western Caucus,2
Ronny Jackson,Congressional Western Caucus,2
Russ Fulcher,Congressional Western Caucus,2
Ryan Zinke,Congressional Western Caucus,2
Scott Fitzgerald,Congressional Western Caucus,2
Steve Scalise,Congressional Western Caucus,2
Tim Walberg,Congressional Western Caucus,2
Tom Emmer,Congressional Western Caucus,2
Tom McClintock,Congressional Western Caucus,2
Tom Tiffany,Congressional Western Caucus,2
Tracey Mann,Congressional Western Caucus,2
Troy Balderson,Congressional Western Caucus,2
BlackRock,ConocoPhillips,2
James Mulva,ConocoPhillips,2
Kenneth Duberstein,ConocoPhillips,2
Red Cavaney,ConocoPhillips,2
Richard Armitage,ConocoPhillips,2
Syncrude,ConocoPhillips,2
John O'Sullivan,Conrad Black,2
Richard Perle,Conrad Black,2
Andy Messing,Conservative Caucus,2
Bill Dunn Fortune,Conservative Caucus,2
Ed McAteer,Conservative Caucus,2
Howard Phillips,Conservative Caucus,2
Jesse Helms,Conservative Caucus,2
Richard Viguerie,Conservative Caucus,2
Gary Allen,Conservative Digest,2
John Rees,Conservative Digest,2
Richard Viguerie,Conservative Digest,2
Likud Party,Conservative Friends of Israel,2
UK Conservative Party,Conservative Friends of Israel,2
William Hague,Conservative Friends of Israel,2
ALEC,Conservative Partnership Institute,2
America First Legal,Conservative Partnership Institute,2
American Cornerstone Institute,Conservative Partnership Institute,$2
American Moment,Conservative Partnership Institute,2
Bradley Foundation,Conservative Partnership Institute,2
Center for Renewing America,Conservative Partnership Institute,2
Citizens for Sanity,Conservative Partnership Institute,2
Cleta Mitchell,Conservative Partnership Institute,2
DonorsTrust/Donors Capital Fund,Conservative Partnership Institute,2
Election Integrity Network,Conservative Partnership Institute,2
House Freedom Caucus,Conservative Partnership Institute,2
James Braid,Conservative Partnership Institute,2
Jim DeMint,Conservative Partnership Institute,2
Klingenstein Fortune,Conservative Partnership Institute,2
Lauren Boebert,Conservative Partnership Institute,2
Marjorie Taylor Greene,Conservative Partnership Institute,2
Mark Meadows,Conservative Partnership Institute,2
Russel Vought,Conservative Partnership Institute,2
Russell Vought,Conservative Partnership Institute,2
Saurabh Sharma,Conservative Partnership Institute,2
Save America,Conservative Partnership Institute,2
Schwab Charitable Fund,Conservative Partnership Institute,2
Stephen Miller,Conservative Partnership Institute,2
The Federalist,Conservative Partnership Institute,2
Tim Dunn,Conservative Partnership Institute,2
Tim Dunn Fortune,Conservative Partnership Institute,2
Vanguard Charitable Endowment Program,Conservative Partnership Institute,2
Ziklag,Conservative Partnership Institute,2
Brian Mulroney,Conservative Party of Canada,2
Jean Charest,Conservative Party of Canada,2
Stephen Harper,Conservative Party of Canada,2
Jonathan Aitken,Conservative Philosophy Group,2
Margaret Thatcher,Conservative Philosophy Group,2
Roger Scruton,Conservative Philosophy Group,2
Mark Levin,Conservative Review,2
Michelle Malkin,Conservative Review,2
Arthur Brooks,ConservativeHomeUSA,2
Herbert London,ConservativeHomeUSA,2
James Glassman,ConservativeHomeUSA,2
John Bolton,ConservativeHomeUSA,2
Kori Schake,ConservativeHomeUSA,2
Michael Barone,ConservativeHomeUSA,2
Mitch Daniels,ConservativeHomeUSA,2
Roger Bate,ConservativeHomeUSA,2
Ryan Streeter,ConservativeHomeUSA,2
Saul Anuzis,ConservativeHomeUSA,2
Tevi Troy,ConservativeHomeUSA,2
Tim Montgomerie,ConservativeHomeUSA,2
Bobby Ray Inman,Constellis (Blackwater),2
Crowell & Moring,Constellis (Blackwater),2
Erik Prince,Constellis (Blackwater),2
George Nader,Constellis (Blackwater),2
Jack Keane,Constellis (Blackwater),2
Jack Quinn,Constellis (Blackwater),2
John Ashcroft,Constellis (Blackwater),2
Joseph Schmitz ,Constellis (Blackwater),2
Ken Starr,Constellis (Blackwater),2
Suzanne Folsom,Constellis (Blackwater),2
Kindt Christian Charitable Trust,Constitutional Coalition,2
American Center for Law & Justice,Constitutional Litigation and Advocacy Group,2
Jay Sekulow,Constitutional Litigation and Advocacy Group,2
Michael Peroutka,Constitutional Sheriffs and Peace Officers Association,2
Richard Mack,Constitutional Sheriffs and Peace Officers Association,2
Altria,Consumer Alert,2
Bill Dunn Fortune,Consumer Alert,2
Bruce Yandle,Consumer Alert,2
Chevron,Consumer Alert,2
Dow,Consumer Alert,2
Elizabeth Whelan,Consumer Alert,2
Ernest Hueter,Consumer Alert,2
Henry Miller,Consumer Alert,2
James Miller,Consumer Alert,2
John Sununu,Consumer Alert,2
Jonathan Adler,Consumer Alert,2
Michael Fumento,Consumer Alert,2
Monsanto,Consumer Alert,2
Patrick Michaels,Consumer Alert,2
Robert Poole,Consumer Alert,2
Roy Marden,Consumer Alert,2
Scott Walter,Consumer Alert,2
Terrence Scanlon,Consumer Alert,2
Thomas DiLorenzo,Consumer Alert,2
Walter Williams,Consumer Alert,2
Beth Ford,Consumer Brands Association,2
Geoff Freeman,Consumer Brands Association,2
William Cyr,Consumer Brands Association,2
CRC Advisors,Consumers’ Research,2
DonorsTrust/Donors Capital Fund,Consumers’ Research,2
Harold Hamm,Continental Resources,2
CRC Advisors,Contract With America,2
Newt Gingrich,Contract with America,2
American Conservative Union,Contras,2
Brian Crozier,Contras,2
Bruce Rappaport,Contras,2
Compagnie de Services Fiduciaires,Contras,2
Joe Coors,Contras,2
John Hull,Contras,2
John Singlaub,Contras,2
Monzer al-Kassar,Contras,2
National Endowment for the Preservation of Liberty,Contras,2
National Security Council,Contras,2
Roger Pardo-Maurer,Contras,2
Unification Church,Contras,2
Western Goals Foundation,Contras,2
Altria,Contributions Watch,2
Brooke Rollins,Convention of States,2
Citizens for Self-Governance,Convention of States,2
CSG Action,Convention of States,2
Eric O'Keefe,Convention of States,2
JD Vance,Convention of States,2
Karoline Leavitt,Convention of States,2
Koch Network,Convention of States,2
Linda McMahon,Convention of States,2
Marco Rubio,Convention of States,2
Mark Meckler,Convention of States,2
Mercer Fortune,Convention of States,2
Mike Huckabee,Convention of States,2
Pete Hegseth,Convention of States,2
Tim Dunn,Convention of States,2
Tim Dunn Fortune,Convention of States,2
Vivek Ramaswamy,Convention of States,2
60 Plus Association,Cooler Heads Coalition,2
Advancement of Sound Science Coalition,Cooler Heads Coalition,2
ALEC,Cooler Heads Coalition,2
Alexis de Tocqueville Institution,Cooler Heads Coalition,2
America’s Future Foundation,Cooler Heads Coalition,2
American Conservative Union,Cooler Heads Coalition,2
American Energy Alliance,Cooler Heads Coalition,2
Americans for Prosperity,Cooler Heads Coalition,2
Americans for Tax Reform,Cooler Heads Coalition,2
Center for Security Policy,Cooler Heads Coalition,2
Chris Horner,Cooler Heads Coalition,2
Citizens for a Sound Economy,Cooler Heads Coalition,2
Committee for a Constructive Tomorrow,Cooler Heads Coalition,2
Competitive Enterprise Institute,Cooler Heads Coalition,2
Consumer Alert,Cooler Heads Coalition,2
Council for Citizens Against Government Waste,Cooler Heads Coalition,2
Craig Rucker,Cooler Heads Coalition,2
Eagle Forum,Cooler Heads Coalition,2
ExxonMobil,Cooler Heads Coalition,2
Fraser Institute,Cooler Heads Coalition,2
FreedomWorks,Cooler Heads Coalition,2
Frontiers of Freedom,Cooler Heads Coalition,2
George C. Marshall Institute,Cooler Heads Coalition,2
Heartland Institute,Cooler Heads Coalition,2
Heritage Foundation,Cooler Heads Coalition,2
Independent Institute,Cooler Heads Coalition,2
John Locke Foundation,Cooler Heads Coalition,2
JunkScience.com,Cooler Heads Coalition,2
Myron Ebell,Cooler Heads Coalition,2
National Center for Policy Analysis,Cooler Heads Coalition,2
National Center for Public Policy Research,Cooler Heads Coalition,2
Pacific Research Institute,Cooler Heads Coalition,2
Steven Milloy,Cooler Heads Coalition,2
Louis Sullivan,Cooper Institute for Aerobics Research,2
